Id,SalePrice
1461,130185.46
1462,161940.19
1463,186089.36
1464,188935.47
1465,193988.75
1466,175589.19
1467,173690.58
1468,174239.6
1469,185145.25
1470,121634.31
1471,189402.78
1472,99233.35
1473,106851.055
1474,148064.69
1475,126412.39
1476,437294.94
1477,261050.3
1478,325542.6
1479,251666.44
1480,457541.97
1481,319021.66
1482,206463.62
1483,177430.31
1484,170589.89
1485,178006.2
1486,194620.31
1487,388217.34
1488,247740.52
1489,211865.72
1490,220738.56
1491,183959.83
1492,84891.81
1493,204714.1
1494,283708.7
1495,286059.1
1496,243941.62
1497,177323.95
1498,160744.84
1499,153829.75
1500,143942.56
1501,185053.69
1502,160812.69
1503,356034.47
1504,230308.05
1505,231167.98
1506,196203.39
1507,226355.77
1508,206823.7
1509,163512.84
1510,147210.25
1511,146322.86
1512,165080.84
1513,155445.84
1514,166082.45
1515,188844.61
1516,147143.69
1517,160858.3
1518,121167.17
1519,220619.8
1520,133959.73
1521,139265.2
1522,163876.06
1523,118730.0
1524,121010.31
1525,129326.1
1526,119982.55
1527,106462.81
1528,119588.71
1529,144329.42
1530,167110.4
1531,114166.61
1532,104967.7
1533,152235.52
1534,115723.06
1535,151497.0
1536,115655.11
1537,74043.94
1538,186939.38
1539,156167.72
1540,94123.11
1541,159413.77
1542,156528.19
1543,217470.81
1544,73204.664
1545,105340.45
1546,123516.63
1547,135616.38
1548,143116.19
1549,121271.914
1550,156339.95
1551,110663.99
1552,153934.36
1553,143767.97
1554,119744.58
1555,181646.48
1556,91537.29
1557,100669.46
1558,91576.37
1559,95200.59
1560,130585.75
1561,152616.0
1562,123640.984
1563,117629.26
1564,150696.16
1565,158028.19
1566,208094.1
1567,61236.145
1568,237524.88
1569,148240.19
1570,126562.02
1571,134867.86
1572,141863.19
1573,240179.97
1574,103972.164
1575,198319.34
1576,238932.12
1577,200380.48
1578,161712.14
1579,136881.08
1580,184062.55
1581,144052.66
1582,125344.73
1583,338607.03
1584,231326.19
1585,140665.3
1586,71301.91
1587,96751.42
1588,150964.02
1589,101561.195
1590,138899.11
1591,98683.08
1592,135999.73
1593,125200.14
1594,134353.25
1595,112470.63
1596,237379.72
1597,169190.27
1598,194194.7
1599,194074.38
1600,188139.47
1601,65771.875
1602,110515.914
1603,81264.35
1604,274154.84
1605,243173.45
1606,173709.98
1607,158758.47
1608,204255.22
1609,197028.14
1610,158855.02
1611,142963.16
1612,153190.64
1613,165018.11
1614,124929.95
1615,82832.414
1616,65424.098
1617,83865.516
1618,122680.336
1619,136641.98
1620,168577.75
1621,124533.11
1622,141803.23
1623,293785.84
1624,228900.42
1625,134250.67
1626,165863.03
1627,187440.5
1628,286805.06
1629,181364.28
1630,358584.2
1631,223895.27
1632,246304.31
1633,175211.92
1634,186296.69
1635,171831.64
1636,163451.02
1637,171607.66
1638,215145.03
1639,174277.78
1640,230605.23
1641,180826.23
1642,215213.58
1643,210329.67
1644,240640.48
1645,179577.81
1646,155832.75
1647,157545.3
